relevent_val,qid,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,doc_id
2.0,1,3.0,2.07944154,0.27272727,0.26103413,37.33056511,11.43124125,37.29975005,1.13865735,15.52428944,8.83129655,12.0,5.37527841,0.08759124,0.08649364,28.30306459,9.34002375,24.80878473,0.39309068,57.41651698,3.29489291,25.0231,3.2197994,-3.87098,-3.90273,-3.87512,40626
0.0,1,3.0,2.07944154,0.42857143,0.40059418,37.33056511,11.43124125,37.29975005,1.81447983,17.45499227,11.61793065,10.0,5.19295685,0.08547009,0.08453711,28.30306459,9.34002375,24.80878473,0.34920457,43.24062605,2.65472417,23.4903,3.15658757,-3.96838,-4.00865,-3.9867,11852
2.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,8.0,4.38202663,0.07692308,0.07601813,28.30306459,9.34002375,24.80878473,0.24031887,25.81698944,1.55134225,15.865,2.76411543,-4.28166,-4.33313,-4.44161,12693
2.0,1,4.0,2.77258872,0.33333333,0.32017083,37.33056511,11.43124125,37.29975005,1.26080803,17.97524177,8.86378153,3.0,1.79175947,0.03409091,0.03377241,28.30306459,9.34002375,24.80878473,0.1114964,10.09242586,0.64975836,14.2778,2.65870588,-4.77772,-4.73563,-4.86759,12694
0.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,6.0,3.87120101,0.04761905,0.04736907,28.30306459,9.34002375,24.80878473,0.18210403,23.54629629,1.62139253,15.2764,2.72630915,-4.43073,-4.45985,-4.57053,15450
1.0,1,1.0,0.69314718,0.14285714,0.13353139,37.33056511,11.43124125,37.29975005,0.62835774,6.12170704,4.15689134,10.0,4.4308168,0.08333333,0.08191707,28.30306459,9.34002375,24.80878473,0.32796715,43.13226482,2.12249256,16.3399,2.79360997,-4.75652,-4.66814,-4.82965,17665
0.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,3.0,2.07944154,0.05357143,0.05309873,28.30306459,9.34002375,24.80878473,0.25524876,14.92698785,2.596071,16.0051,2.77290742,-4.54349,-4.52334,-4.69865,18432
0.0,1,1.0,0.69314718,0.5,0.40546511,37.33056511,11.43124125,37.29975005,1.07964603,3.88727484,3.2237525,14.0,5.19295685,0.1,0.09779062,28.30306459,9.34002375,24.80878473,0.41939944,65.74099134,2.81316484,20.3781,3.01446079,-4.25087,-4.18235,-4.21824,18540
0.0,1,3.0,2.07944154,0.6,0.54696467,37.33056511,11.43124125,37.29975005,2.13084866,15.65986863,10.90521468,9.0,4.68213123,0.13043478,0.12827973,28.30306459,9.34002375,24.80878473,0.44756051,33.23097043,2.69791902,21.2651,3.05706723,-4.18472,-4.18399,-4.03491,44695
0.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,16.0,6.10479323,0.11510791,0.11289797,28.30306459,9.34002375,24.80878473,0.3713006,55.42216381,2.33077909,19.2149,2.95568602,-4.09988,-4.15679,-4.17349,18541
0.0,1,1.0,0.69314718,0.33333333,0.28768207,37.33056511,11.43124125,37.29975005,0.83106319,3.88727484,2.83799462,9.0,4.9698133,0.10465116,0.10338975,28.30306459,9.34002375,24.80878473,0.34337063,30.77245028,2.36474395,20.5901,3.02481038,-3.88202,-3.94706,-3.85099,18542
0.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,3.0,2.07944154,0.01960784,0.01954404,28.30306459,9.34002375,24.80878473,0.09073484,14.09636968,0.98468828,9.40335,2.24106601,-5.30673,-5.0442,-5.34826,24956
1.0,1,0.0,0.0,0.0,0.0,37.33056511,11.43124125,37.29975005,0.0,0.0,0.0,10.0,5.78074352,0.10526316,0.10427895,28.30306459,9.34002375,24.80878473,0.41280822,40.8540106,3.40213172,26.8532,3.29038499,-3.246,-3.39702,-3.20869,48192
1.0,1,2.0,1.38629436,0.28571429,0.26706279,37.33056511,11.43124125,37.29975005,0.96019493,8.87638874,5.32936298,14.0,6.22257627,0.11570248,0.11390568,28.30306459,9.34002375,24.80878473,0.35830547,45.26421943,2.40526699,21.7133,3.07792498,-3.84974,-3.92356,-3.77915,48200
